,correct_rate,response_time,set_size,response_type,cue_type,subject,exp_type
0,1,0.6459,L1,no-change,nocue,1,exp2
5499,1,0.3165,L1,no-change,cue,22,exp2
5498,1,0.8009,L1,change,cue,22,exp2
5497,1,0.4493,L1,change,cue,22,exp2
5496,1,0.9749,L1,change,cue,22,exp2
5492,0,0.5329,L1,no-change,cue,22,exp2
5491,1,0.6894,L1,no-change,cue,22,exp2
5508,1,0.5684,L1,no-change,cue,22,exp2
5486,1,0.6513,L1,no-change,cue,22,exp2
5483,1,1.717,L1,change,cue,22,exp2
5482,1,0.7233,L1,change,cue,22,exp2
5476,1,0.6162,L1,no-change,cue,22,exp2
5475,1,0.7845,L1,no-change,cue,22,exp2
5471,0,0.4698,L1,change,cue,22,exp2
5458,1,0.5513,L1,no-change,cue,22,exp2
5485,1,0.6413,L1,change,cue,22,exp2
5456,1,0.4669,L1,no-change,cue,22,exp2
5510,1,0.3342,L1,change,cue,22,exp2
5519,1,0.3563,L1,change,cue,22,exp2
5571,1,1.701,L1,change,nocue,22,exp2
5570,1,0.7235,L1,change,nocue,22,exp2
5566,1,1.951,L1,no-change,cue,22,exp2
5562,1,0.5078,L1,no-change,cue,22,exp2
5560,1,0.5511,L1,change,cue,22,exp2
5556,1,0.6336,L1,change,cue,22,exp2
5512,1,0.6826,L1,no-change,cue,22,exp2
5554,1,0.7,L1,change,cue,22,exp2
5543,1,0.4167,L1,no-change,cue,22,exp2
5540,1,0.3865,L1,change,cue,22,exp2
5535,1,0.4352,L1,no-change,cue,22,exp2
5527,1,0.634,L1,no-change,cue,22,exp2
5526,1,0.7003,L1,change,cue,22,exp2
5521,1,0.5319,L1,no-change,cue,22,exp2
5550,1,0.951,L1,change,cue,22,exp2
5453,1,0.584,L1,change,cue,22,exp2
5438,1,0.6167,L1,change,nocue,22,exp2
5431,1,0.5852,L1,no-change,nocue,22,exp2
5351,1,0.6845,L1,change,nocue,21,exp2
5349,1,0.756,L1,change,nocue,21,exp2
5346,1,0.5682,L1,change,nocue,21,exp2
5344,1,6.7347,L1,no-change,nocue,21,exp2
5334,1,3.1913,L1,no-change,nocue,21,exp2
5330,1,0.5678,L1,change,nocue,21,exp2
5357,1,0.5849,L1,change,nocue,21,exp2
5324,1,1.0196,L1,no-change,nocue,21,exp2
5317,1,0.5016,L1,no-change,nocue,21,exp2
5316,1,0.6361,L1,no-change,nocue,21,exp2
5315,1,0.7013,L1,no-change,nocue,21,exp2
5302,1,0.7685,L1,change,cue,21,exp2
5300,1,0.7512,L1,change,cue,21,exp2
5298,1,0.6515,L1,no-change,cue,21,exp2
5320,1,0.8511,L1,change,nocue,21,exp2
5361,1,0.5202,L1,change,nocue,21,exp2
5369,1,0.4849,L1,no-change,nocue,21,exp2
5370,1,0.5568,L1,no-change,nocue,21,exp2
5430,1,0.951,L1,change,nocue,22,exp2
5422,1,0.6042,L1,change,nocue,22,exp2
5413,1,0.7171,L1,no-change,nocue,22,exp2
5409,1,0.3823,L1,no-change,nocue,22,exp2
5402,1,0.3661,L1,no-change,nocue,22,exp2
5396,1,1.4172,L1,no-change,nocue,22,exp2
5391,1,1.1515,L1,no-change,nocue,22,exp2
5390,1,0.9672,L1,change,nocue,22,exp2
5384,1,0.9514,L1,no-change,nocue,22,exp2
5383,0,0.7482,L1,change,nocue,22,exp2
5382,1,0.6822,L1,change,nocue,22,exp2
5380,1,0.6198,L1,change,nocue,22,exp2
5379,1,0.5691,L1,change,nocue,22,exp2
5376,1,0.5309,L1,no-change,nocue,22,exp2
5375,1,0.8027,L1,change,nocue,21,exp2
5572,1,0.9369,L1,change,nocue,22,exp2
5573,1,0.4539,L1,no-change,nocue,22,exp2
5577,1,0.3916,L1,no-change,nocue,22,exp2
5580,1,0.6665,L1,change,nocue,22,exp2
5804,1,0.8349,L1,change,nocue,23,exp2
5787,1,0.6179,L1,change,nocue,23,exp2
5782,1,0.6049,L1,no-change,nocue,23,exp2
5778,1,0.6513,L1,change,nocue,23,exp2
5776,1,0.650900001,L1,change,nocue,23,exp2
5771,1,0.890599999,L1,no-change,nocue,23,exp2
5805,1,0.8556,L1,change,nocue,23,exp2
5765,1,0.876599999,L1,no-change,nocue,23,exp2
5760,1,0.9737,L1,change,nocue,23,exp2
5759,1,0.7491,L1,no-change,nocue,23,exp2
5758,1,0.663400001,L1,no-change,nocue,23,exp2
5756,1,0.7206,L1,no-change,nocue,23,exp2
